Event	ID	Name			Wwise Object Path	Notes
	202626413	P_Sticker_Drop			\Default Work Unit\P_Sticker_Drop	
	1038526906	I_Clock_Frozen			\Default Work Unit\I_Clock_Frozen	
	1664509575	UI_Button_Click			\Default Work Unit\UI_Button_Click	
	1853520656	I_Clock_Next_Stage			\Default Work Unit\I_Clock_Next_Stage	
	2052289800	UI_Shop_Purchase			\Default Work Unit\UI_Shop_Purchase	
	2613498745	P_Sticker_Lift			\Default Work Unit\P_Sticker_Lift	
	3323251731	I_Clock_Unfrozen			\Default Work Unit\I_Clock_Unfrozen	
	3709676093	NPC_Enter			\Default Work Unit\NPC_Enter	
	3949245851	UI_Page_Turn_Group			\Default Work Unit\UI_Page_Turn_Group	
	4051801730	UI_Page_Turn_Single			\Default Work Unit\UI_Page_Turn_Single	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	100939464	P_Sticker_Lift_3	.cache\BC\{BC1F3687-7A30-8261-848B-D73722F08545}.wem		\Containers\Default Work Unit\Player\P_Sticker_Lift\P_Sticker_Lift_3		40924
	123926229	UI_Page_Turn_Group_1	.cache\FB\{FBC5D7B1-24A5-F091-E03C-06ECD1181C16}.wem		\Containers\Default Work Unit\UI_Feedback\UI_Page_Turn_Group\UI_Page_Turn_Group_1		176496
	248013631	I_Clock_Next_Stage_3	.cache\A5\{A5D90ACB-4880-BF6D-C9F8-C89E1599E082}.wem		\Containers\Default Work Unit\Informational_SFX\I_Clock_Next_Stage\I_Clock_Next_Stage_3		31840
	273534852	I_Clock_Unfrozen_3	.cache\1E\{1E02B3DC-3A93-41FD-445D-CB052F9F89A4}.wem		\Containers\Default Work Unit\Informational_SFX\I_Clock_Unfrozen\I_Clock_Unfrozen_3		215136
	316405668	UI_Button_Click	.cache\82\{821D61AD-4963-CC47-56E7-73C31FB27CA4}.wem		\Containers\Default Work Unit\UI_Feedback\UI_Button_Click		210016
	416566881	UI_Page_Turn_Group_3	.cache\DB\{DB6A0B51-C53D-F1AD-9079-75F95A621F69}.wem		\Containers\Default Work Unit\UI_Feedback\UI_Page_Turn_Group\UI_Page_Turn_Group_3		154448
	449653212	I_Clock_Next_Stage_2	.cache\22\{227851C7-9802-F7B6-29F8-078E2AE7B27A}.wem		\Containers\Default Work Unit\Informational_SFX\I_Clock_Next_Stage\I_Clock_Next_Stage_2		36192
	481392785	UI_Page_Turn_Single_1	.cache\4A\{4AC9BDD6-204F-77B7-FE6C-56000A718F76}.wem		\Containers\Default Work Unit\UI_Feedback\UI_Page_Turn_Single\UI_Page_Turn_Single_1		132396
	514805342	I_Clock_Unfrozen_1	.cache\4A\{4A51BAF8-DF4C-252E-FB83-2CB49EA5A389}.wem		\Containers\Default Work Unit\Informational_SFX\I_Clock_Unfrozen\I_Clock_Unfrozen_1		180320
	544666405	I_NPC_Enter	.cache\72\{7235F12C-AA15-5AAB-43DC-01D22135D233}.wem		\Containers\Default Work Unit\NPC\I_NPC_Enter		165472
	558145021	P_Sticker_Lift_1	.cache\55\{55A06827-4168-5239-CA1C-05B086907558}.wem		\Containers\Default Work Unit\Player\P_Sticker_Lift\P_Sticker_Lift_1		44196
	635631202	P_Sticker_Drop_2	.cache\3A\{3AB7FFE7-7FD7-F757-7ED3-38778B165A27}.wem		\Containers\Default Work Unit\Player\P_Sticker_Drop\P_Sticker_Drop_2		88296
	635699237	P_Sticker_Drop_3	.cache\93\{93C67A70-EDBD-93C0-8D83-A53D29AF7F4F}.wem		\Containers\Default Work Unit\Player\P_Sticker_Drop\P_Sticker_Drop_3		88296
	649327940	I_Clock_Unfrozen_2	.cache\19\{199FFCC4-5C9A-44C6-2520-C7BFCFC0D3F1}.wem		\Containers\Default Work Unit\Informational_SFX\I_Clock_Unfrozen\I_Clock_Unfrozen_2		161888
	727930976	UI_Page_Turn_Group_2	.cache\E8\{E838D5A6-4B9A-3889-AED4-5586B754B8D1}.wem		\Containers\Default Work Unit\UI_Feedback\UI_Page_Turn_Group\UI_Page_Turn_Group_2		154448
	760106271	P_Sticker_Lift_2	.cache\31\{31BF9FE1-1E1D-90DA-5FC9-0635372BF9C6}.wem		\Containers\Default Work Unit\Player\P_Sticker_Lift\P_Sticker_Lift_2		44196
	762203785	UI_Page_Turn_Single_2	.cache\0A\{0A77FD8E-2EA5-263D-E636-2FE8207CC877}.wem		\Containers\Default Work Unit\UI_Feedback\UI_Page_Turn_Single\UI_Page_Turn_Single_2		132396
	793399668	UI_Shop_Purchase	.cache\87\{8758F812-4187-7E0A-27A1-9D04776B4534}.wem		\Containers\Default Work Unit\UI_Feedback\UI_Shop_Purchase\UI_Shop_Purchase		197540
	935482776	P_Sticker_Drop_1	.cache\DA\{DAC8165E-3876-1AEC-A505-D6CCEC498D26}.wem		\Containers\Default Work Unit\Player\P_Sticker_Drop\P_Sticker_Drop_1		88296
	978734812	I_Clock_Next_Stage_1	.cache\73\{73D971AF-4976-5257-A6E7-02F66FD68E46}.wem		\Containers\Default Work Unit\Informational_SFX\I_Clock_Next_Stage\I_Clock_Next_Stage_1		39520
	995998436	UI_Page_Turn_Single_3	.cache\CE\{CE176345-8EDD-F284-EECE-2B7543B899A7}.wem		\Containers\Default Work Unit\UI_Feedback\UI_Page_Turn_Single\UI_Page_Turn_Single_3		132396
	1002890941	UI_Page_Turn_Single_4	.cache\34\{34503D35-EE8C-2091-3FE2-DFE54DFC1C1A}.wem		\Containers\Default Work Unit\UI_Feedback\UI_Page_Turn_Single\UI_Page_Turn_Single_4		132396

